DATE,HHMM,SEC,PTNUM,location (X) / m,location (Y) / m
20250717,1034,29946,1,1.75,2.3
20250717,1034,30925,1,1.366053623,1.073841422
20250717,1034,31952,1,1.56720418,1.709844
20250717,1034,32900,1,1.56720418,1.709844
20250717,1034,33918,1,1.247997249,2.04416368
20250717,1034,34947,1,1.21182019,1.236255667
20250717,1034,35951,1,1.293940667,0.5
20250717,1034,36960,1,1.507104603,2.046298465
20250717,1034,37926,1,1.234144581,1.861867444
20250717,1034,38949,1,0.5,1.571221452
20250717,1034,39962,1,0.800224025,0.5
20250717,1034,40949,2,2.236532816,0.5
20250717,1034,41961,2,2.236532816,0.5
20250717,1034,42972,2,4.375243658,1.411037404
20250717,1034,43898,2,4.070235661,1.874030853
20250717,1034,44937,2,4.886079332,3.193889533
20250717,1034,45934,3,4.886079332,3.193889533
20250717,1034,46958,3,5.199564921,1.538094633
20250717,1034,47960,3,4.971063448,1.045739152
20250717,1034,48959,3,4.971063448,1.045739152
20250717,1034,49973,3,5.8,1.6358664
20250717,1034,50951,3,5.8,1.6358664
20250717,1034,51954,3,5.8,2.021170225
20250717,1034,52958,3,5.8,1.572208962
20250717,1034,53970,3,5.249161266,1.23768123
20250717,1034,54953,3,5.791565106,1.701620057
20250717,1034,55955,3,5.8,1.918633307
20250717,1034,56959,3,5.8,1.0966454
20250717,1034,57980,3,5.157152908,1.592123548
20250717,1034,58979,4,5.8,0.863080189
20250717,1034,59967,4,5.8,0.863080189
20250717,1035,962,4,3.088158359,3.911721498
20250717,1035,1968,4,4.614929299,4.166710611
20250717,1035,2972,4,5.8,5.578912
20250717,1035,3913,4,5.413647059,5.859569556
20250717,1035,4967,5,5.8,5.900998874
20250717,1035,5890,5,5.8,5.396020419
20250717,1035,6976,5,5.523791865,5.78813673
20250717,1035,7902,5,5.780485516,6.317660922
20250717,1035,8975,5,5.8,5.790851205
20250717,1035,9950,5,5.478861791,5.756606976
20250717,1035,10965,5,5.32143316,5.618071333
20250717,1035,11942,5,5.458395741,5.744489933
20250717,1035,12966,5,5.8,5.767831844
20250717,1035,13909,5,5.427793677,5.503481756
20250717,1035,14972,5,5.789180556,6.174662222
20250717,1035,15964,5,5.789180556,6.174662222
20250717,1035,16913,6,5.183228906,5.5007838
20250717,1035,17998,6,5.07404709,5.968524919
