DATE,HHMM,SEC,PTNUM,location (X) / m,location (Y) / m
20250717,1034,30404,1,1.900801733,1.6473954
20250717,1034,31398,1,2.0853455,1.601818687
20250717,1034,32352,1,2.303968301,2.7218866
20250717,1034,33394,1,1.639940961,1.6270303
20250717,1034,34413,1,0.843810779,1.744948333
20250717,1034,35392,1,1.617739384,1.756765533
20250717,1034,36379,1,0.958204274,1.044664267
20250717,1034,37394,1,0.763779012,0.548258756
20250717,1034,38388,1,1.006013783,0.5
20250717,1034,39360,1,1.388853661,0.526015285
20250717,1034,40406,1,1.976460732,0.638296898
20250717,1034,41419,2,1.800012584,0.5
20250717,1034,42402,2,3.226645079,0.5
20250717,1034,43419,2,4.084933122,0.686408267
20250717,1034,44419,2,4.341709744,2.062658886
20250717,1034,45409,2,3.625333095,1.466777294
20250717,1034,46415,3,3.615218915,2.1811368
20250717,1034,47351,3,3.615218915,2.1811368
20250717,1034,48408,3,4.98999131,2.293939293
20250717,1034,49357,3,4.98999131,2.293939293
20250717,1034,50402,3,4.52034468,2.698160224
20250717,1034,51413,3,4.52034468,2.698160224
20250717,1034,52416,3,4.776361454,2.558744015
20250717,1034,53390,3,5.434092495,2.0536134
20250717,1034,54398,3,5.131126521,2.266514244
20250717,1034,55413,3,4.980924518,1.919520822
20250717,1034,56419,3,5.8,1.9069248
20250717,1034,57429,3,5.8,1.2884912
20250717,1034,58402,4,5.282379669,1.950002524
20250717,1034,59429,4,5.8,2.785604211
20250717,1035,416,4,5.350557941,3.322262236
20250717,1035,1412,4,4.784862254,3.700420533
20250717,1035,2420,4,3.743172619,4.850656867
20250717,1035,3409,4,5.098611706,4.679496467
20250717,1035,4428,4,5.098611706,4.679496467
20250717,1035,5419,5,4.394627937,5.627755444
20250717,1035,6368,5,5.378518782,5.520684889
20250717,1035,7410,5,5.017169259,5.664279689
20250717,1035,8423,5,4.493076455,5.500574011
20250717,1035,9411,5,5.179827381,6.01836931
20250717,1035,10415,5,5.491366905,6.5548835
20250717,1035,11427,5,5.491366905,6.5548835
20250717,1035,12426,5,5.093807857,6.112811605
20250717,1035,13429,5,4.676048318,5.625874963
20250717,1035,14407,5,4.725801164,5.71177264
20250717,1035,15413,5,5.637722209,5.954185156
20250717,1035,16419,5,5.547038175,5.26123168
20250717,1035,17359,6,5.330581425,5.779166837
20250717,1035,18396,6,4.377097217,5.859608667
20250717,1035,19413,6,3.203712302,6.789750722
20250717,1035,20403,6,2.829380495,6.198247807
20250717,1035,21414,6,1.164396243,6.441051381
20250717,1035,22385,6,0.607447746,6.33666656
20250717,1035,23417,6,0.607447746,6.33666656
20250717,1035,24368,6,1.613532619,5.262174237
20250717,1035,25419,7,1.48444668,5.239049856
20250717,1035,26410,7,0.720802295,4.956097837
20250717,1035,27430,7,0.761156952,4.8346528
20250717,1035,28407,7,0.5,5.319447
20250717,1035,29427,7,0.5,5.319447
20250717,1035,30424,7,0.764913139,5.726553944
20250717,1035,31422,7,1.710154508,5.541764089
20250717,1035,32404,7,1.710154508,5.541764089
20250717,1035,33425,7,1.710154508,5.541764089
20250717,1035,34348,7,1.710154508,5.541764089
20250717,1035,35423,7,1.477535963,5.815219091
20250717,1035,36410,7,0.5,5.725832156
20250717,1035,37428,8,0.5,6.548966011
20250717,1035,38428,8,1.061690984,6.131230163
20250717,1035,39410,8,1.657008646,4.82954873
20250717,1035,40337,8,1.616872724,1.672120989
20250717,1035,41431,8,1.368337528,1.585233933
20250717,1035,42389,8,1.368337528,1.585233933
20250717,1035,43425,9,1.368337528,1.585233933
20250717,1035,44431,9,0.5,1.446852533
20250717,1035,45413,9,0.5,0.531606167
20250717,1035,46430,9,0.5,0.531606167
20250717,1035,47415,9,2.203670091,1.0165448
20250717,1035,48432,9,2.203670091,1.0165448
20250717,1035,49433,9,1.459010476,1.27267832
20250717,1035,50427,9,1.459010476,1.27267832
20250717,1035,51361,9,1.991290225,0.5
20250717,1035,52398,9,1.428811206,0.576092894
20250717,1035,53428,9,1.23706131,0.617164467
20250717,1035,54441,10,2.16838242,0.5
20250717,1035,55437,10,3.386346071,0.7252698
20250717,1035,56436,10,4.194396686,1.868534513
20250717,1035,57419,10,5.506890444,3.667453719
20250717,1035,58432,10,5.506890444,3.667453719
20250717,1035,59453,11,5.8,3.1946832
20250717,1036,431,11,5.378334082,3.449558676
20250717,1036,1435,11,5.378334082,3.449558676
20250717,1036,2429,11,5.461371772,3.076664585
20250717,1036,3433,11,5.461371772,3.076664585
20250717,1036,4436,11,5.598278515,2.585581067
20250717,1036,5429,11,5.598278515,2.585581067
20250717,1036,6433,11,5.598278515,2.585581067
20250717,1036,7449,11,5.039397594,1.698223333
20250717,1036,8433,11,4.940092804,1.229846467
20250717,1036,9442,11,4.940092804,1.229846467
20250717,1036,10437,11,5.454010988,0.845760667
20250717,1036,11438,11,5.8,0.982018529
20250717,1036,12427,12,5.8,0.982018529
20250717,1036,13438,12,5.8,2.829765467
20250717,1036,14430,12,4.716078428,4.792565232
20250717,1036,15439,12,4.222844095,3.470804318
20250717,1036,16444,12,4.367458148,4.882413511
20250717,1036,17442,12,5.576284683,5.51241049
20250717,1036,18450,12,5.628481481,5.457589552
20250717,1036,19440,13,5.327605743,6.056634578
20250717,1036,20442,13,5.453308571,5.490592456
20250717,1036,21452,13,5.8,5.735444417
20250717,1036,22445,13,5.607490265,5.549655578
20250717,1036,23435,13,5.279629677,5.9077925
20250717,1036,24443,13,5.044968748,6.310331428
20250717,1036,25444,13,5.607454337,5.896521311
20250717,1036,26382,13,4.998558095,5.626167129
20250717,1036,27444,13,5.526964745,5.379174808
20250717,1036,28401,13,5.115034286,5.808073236
20250717,1036,29441,13,5.8,5.259575333
20250717,1036,30446,13,5.662123294,5.235610767
20250717,1036,31462,14,5.487673369,5.664946785
20250717,1036,32442,14,5.487673369,5.664946785
20250717,1036,33374,14,2.895105185,6.359662044
20250717,1036,34451,14,2.240400056,5.784714267
20250717,1036,35445,14,1.738954354,6.7794168
20250717,1036,36450,14,0.656646587,6.82005792
